epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.7901,1.78736,2.57429,1.9061,0.56446,0.28083,0.25338,0.1008,2.08085,3.63346,2.36045,0.000329114,0.000329114,0.0674177
2,97.5255,1.76248,2.11819,1.86659,0.62794,0.17217,0.18259,0.06589,2.25583,5.03321,2.6401,0.0006618,0.0006618,0.0344171
3,146.611,1.72702,2.06633,1.86437,0.56158,0.16997,0.12911,0.04394,2.78819,3.95609,2.85129,0.000991894,0.000991894,0.00141383
4,195.919,1.71258,2.00642,1.84579,0.42868,0.29075,0.19891,0.07988,2.33297,3.23794,2.46071,0.000991232,0.000991232,0.000991232
5,245.422,1.65918,1.94004,1.79667,0.66814,0.42788,0.49152,0.20142,1.91122,2.20747,2.04472,0.000984449,0.000984449,0.000984449
6,297.206,1.63101,1.88136,1.7672,0.66139,0.38226,0.41966,0.18416,2.00139,2.30195,2.07517,0.000975773,0.000975773,0.000975773
7,346.659,1.6104,1.84479,1.74833,0.40453,0.53037,0.47867,0.2205,1.82187,1.95554,1.92021,0.000965239,0.000965239,0.000965239
8,396.956,1.58594,1.84824,1.74294,0.45021,0.4523,0.49242,0.22202,1.79625,2.00673,2.03972,0.000952889,0.000952889,0.000952889
9,448.346,1.58181,1.79576,1.73954,0.44468,0.45844,0.44379,0.19938,1.96489,2.285,2.01913,0.000938772,0.000938772,0.000938772
10,499.009,1.5611,1.76211,1.72066,0.44636,0.44531,0.43969,0.18746,1.87707,2.37933,1.95222,0.000922942,0.000922942,0.000922942
11,548.612,1.53624,1.72863,1.70487,0.55954,0.57008,0.57667,0.27811,1.81399,1.82467,1.92359,0.000905463,0.000905463,0.000905463
12,599.912,1.54375,1.72471,1.69783,0.40327,0.54557,0.47563,0.22713,1.84985,1.98541,1.92117,0.000886404,0.000886404,0.000886404
13,650.305,1.53214,1.68706,1.6885,0.72985,0.48951,0.57811,0.25158,1.80373,1.77703,1.90628,0.000865839,0.000865839,0.000865839
14,699.947,1.51797,1.68703,1.69598,0.52383,0.61687,0.56091,0.27021,1.69727,1.67642,1.83018,0.000843851,0.000843851,0.000843851
15,749.493,1.52477,1.65816,1.67203,0.54806,0.56756,0.59319,0.28893,1.67231,1.69123,1.78691,0.000820525,0.000820525,0.000820525
16,801.105,1.51954,1.67581,1.6813,0.38895,0.5115,0.45973,0.21605,1.79543,1.89239,1.90006,0.000795954,0.000795954,0.000795954
17,851.101,1.50912,1.6341,1.66376,0.57325,0.58975,0.60751,0.29672,1.6886,1.66089,1.79688,0.000770234,0.000770234,0.000770234
18,901.678,1.46673,1.59289,1.64432,0.57748,0.53922,0.60238,0.29637,1.66657,1.58728,1.8127,0.000743468,0.000743468,0.000743468
