epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,109.235,0.68694,0.89857,0.9917,0.32174,0.000331699,0.000331699,0.0671618
2,212.501,0.43952,0.7655,0.98366,1.03108,0.000664383,0.000664383,0.0341611
3,315.97,0.52646,0.91025,0.98495,0.29136,0.000994469,0.000994469,0.00115787
4,422.308,0.45198,0.88716,0.99844,0.38207,0.000991232,0.000991232,0.000991232
5,526.721,0.38497,0.94475,0.99896,0.1708,0.000984449,0.000984449,0.000984449
6,633.272,0.32895,0.92192,0.99455,0.25129,0.000975773,0.000975773,0.000975773
7,737.611,0.29757,0.90636,0.99741,0.34906,0.000965239,0.000965239,0.000965239
8,843.098,0.3071,0.93774,0.99818,0.21348,0.000952889,0.000952889,0.000952889
9,948.075,0.26984,0.95979,0.99948,0.12535,0.000938772,0.000938772,0.000938772
10,1053.07,0.26698,0.96213,0.99948,0.12277,0.000922942,0.000922942,0.000922942
11,1158.69,0.23482,0.94708,0.99948,0.15992,0.000905463,0.000905463,0.000905463
12,1261.8,0.2412,0.94423,0.99741,0.17887,0.000886404,0.000886404,0.000886404
13,1361.45,0.24121,0.91881,0.9987,0.25374,0.000865839,0.000865839,0.000865839
14,1464.45,0.22047,0.95279,0.99922,0.15948,0.000843851,0.000843851,0.000843851
15,1567.67,0.21031,0.95123,1,0.14865,0.000820525,0.000820525,0.000820525
16,1670.64,0.20691,0.94968,0.99896,0.1476,0.000795954,0.000795954,0.000795954
17,1775.39,0.19014,0.95149,0.9987,0.17216,0.000770234,0.000770234,0.000770234
18,1879.01,0.18925,0.95383,0.99896,0.14231,0.000743468,0.000743468,0.000743468
19,1984.55,0.16356,0.95409,0.99896,0.12028,0.000715761,0.000715761,0.000715761
20,2089.88,0.18295,0.96083,0.99974,0.12005,0.000687222,0.000687222,0.000687222
